x,multi-finetuned,multi-frozen,baseline,linear,reg-finetuned
0.76,1.4487044655506028e-08,0.3539740518352689,0.06719120478330642,0.04833880928727966,1.6194066340460223e-07
0.762,2.9752751640000015e-08,0.37431668217708675,0.07157720258154797,0.051487245939655084,3.033725443695911e-07
0.764,6.003501237884552e-08,0.39512188062008075,0.07582606855079936,0.05474564547612479,5.597923044335804e-07
0.766,1.1901787787535498e-07,0.4162655014566232,0.07990304466270921,0.05814301366853608,1.0174472840592472e-06
0.768,2.318194826037223e-07,0.43760220379959375,0.08377996560294879,0.06171312149916602,1.8215276555102733e-06
0.77,4.4362682210870463e-07,0.45896706714710933,0.08743637499613037,0.0654932743381371,3.2122069349919597e-06
0.772,8.340955369769992e-07,0.48017827690079656,0.09086032524770317,0.0695227927671544,5.5798274295732615e-06
0.774,1.5407917364338043e-06,0.5010408518882645,0.09404881661643184,0.07384127571291221,9.547590530065584e-06
0.776,2.796418922673187e-06,0.5213513177102578,0.09700785210685128,0.07848673106587799,1.6092723559436177e-05
0.778,4.986440965536134e-06,0.5409031641590597,0.09975210798644069,0.0834936680045481,2.67199633545789e-05
0.78,8.735933166547498e-06,0.559492867277682,0.10230424366556766,0.08889124841899218,4.370402194945683e-05
0.782,1.5036893190579975e-05,0.5769262115738426,0.10469389771493423,0.09470159225483356,7.041998168907071e-05
0.784,2.542946046785955e-05,0.5930246192206107,0.10695643733725183,0.10093832387068745,0.00011178157305305755
0.786,4.225191878438031e-05,0.6076311831735918,0.10913154518049431,0.10760543456011545,0.00017480605065775645
0.788,6.897410027614445e-05,0.6206161108312349,0.11126173871817945,0.11469652137384288,0.00026931974792640295
0.79,0.00011062570532935839,0.6318813133057346,0.11339092256108191,0.1221944454652427,0.0004088091410148105
0.792,0.0001743237590641561,0.6413639201183982,0.11556307239430308,0.13007143543546926,0.000611407313553181
0.794,0.0002698906293574613,0.6490385564168923,0.11782114054433003,0.13828964341633115,0.0009009844502428058
0.796,0.0004105347962743592,0.654918284929107,0.12020625769167596,0.14680214446677467,0.0013082835642576837
0.798,0.0006135407921639212,0.6590541826725388,0.12275728361473749,0.15555435357520764,0.001872010423958152
0.8,0.0009008837071451377,0.6615335878693216,0.12551073317261652,0.1644858192587144,0.0026397524247702467
0.802,0.0012996505329017645,0.6624771111121533,0.1285010735116303,0.17353233844494625,0.0036685694287151827
0.804,0.0018421207276866866,0.6620345531455105,0.13176135657813737,0.18262832406149876,0.00502507635224281
0.806,0.0025653391352192458,0.660379907546914,0.13532411959581203,0.1917093447385,0.006784829512545589
0.808,0.0035100146048070817,0.6577056494353559,0.13922245756310775,0.20071474567558792,0.009030843518290874
0.81,0.004718606249689728,0.6542165218076961,0.1434911484442889,0.2095902516988416,0.011851108678646593
0.812,0.006232523281230733,0.6501230310810763,0.1481676958518677,0.21829044869028225,0.015335053639698008
0.8140000000000001,0.008088466583866397,0.6456348555695458,0.1532931476373124,0.22678103883689488,0.019569003148853074
0.8160000000000001,0.010314076963563125,0.6409543579580591,0.15891255340967816,0.23504076934662171,0.02463081004470645
0.8180000000000001,0.012923214518169952,0.6362703782302283,0.1650749403857836,0.2430629439609595,0.030583981546435116
0.8200000000000001,0.01591135566529425,0.6317524692512275,0.1718327150803802,0.25085644184745626,0.0374717552730782
0.8220000000000001,0.019251732025898777,0.627545724678424,0.17924043713757015,0.2584461887922625,0.04531168934462619
0.8240000000000001,0.022892918361687397,0.6237663383358057,0.18735295903846064,0.26587304992428085,0.05409139201098701
0.8260000000000001,0.026758576898126617,0.6204980247919487,0.1962229784827141,0.27319313981468124,0.06376601111610025
0.8280000000000001,0.03074996258181715,0.6177894208278538,0.2058981051068822,0.28047657262436415,0.07425802062669581
0.8300000000000001,0.03475158189366182,0.6156525743625135,0.21641759547983205,0.2878056997607826,0.08545967856518835
0.8320000000000001,0.038640088137364664,0.6140626086531804,0.22780895538927814,0.2952729031153567,0.09723829777800566
0.834,0.042296118256825145,0.6129586229819136,0.2400846418626727,0.3029780266614064,0.10944418949867218
0.836,0.04561837495801658,0.6122458551888965,0.25323911531301546,0.3110255369556007,0.12192084068143202
0.838,0.048538886550903985,0.611799086149968,0.2672464918429974,0.31952150371509913,0.13451660631747175
0.84,0.05103808858867878,0.611467212918283,0.2820590256225782,0.3285704858683097,0.1470969746402639
0.842,0.05315820982399475,0.6110788585607605,0.29760661152936424,0.3382723978785772,0.15955632848835707
0.844,0.05501343733797436,0.6104488268518736,0.3137974407782109,0.34871941794588956,0.1718281023898675
