x,multi-finetuned,multi-frozen,baseline,linear
0.1,0.00014608251980482295,1.980447855294639e-10,3.6891444117145734e-08,5.275006058059357e-13
0.10200000000000001,0.00016516455875870432,2.595624859394005e-10,4.776294535005021e-08,7.306985804082369e-13
0.10400000000000001,0.00018648495051277276,3.395714066450231e-10,6.169081354155647e-08,1.0100387940471557e-12
0.106,0.00021027092684345046,4.434361631779675e-10,7.949024915575138e-08,1.39322877274388e-12
0.108,0.0002367682060711067,5.780189005444227e-10,1.0218124584339337e-07,1.9177478556291765e-12
0.11,0.00026624194002972454,7.520800062024765e-10,1.3103656966439487e-07,2.6341795393334593e-12
0.112,0.000298977642997455,9.767811183863983e-10,1.6764007141400806e-07,3.610639602595733e-12
0.114,0.00033528209267182573,1.2663151918673589e-09,2.1395733177670343e-07,4.9386463051567845e-12
0.116,0.0003754841923696989,1.6386940204065353e-09,2.72420972781611e-07,6.740883696619864e-12
0.11800000000000001,0.00041993578274634617,2.116730445281008e-09,3.460333465189288e-07,9.181443974760942e-12
0.12,0.00046901239047427785,2.729260732899901e-09,4.384897364097707e-07,1.2479308111103439e-11
0.122,0.0005231139005159602,3.5126625517136053e-09,5.543256802236392e-07,1.692604592084166e-11
0.124,0.0005826651378815941,4.5127359344986335e-09,6.990925496507544e-07,2.2909000287940226e-11
0.126,0.0006481163441012019,5.787028943124626e-09,8.795660999042038e-07,3.094158144304779e-11
0.128,0.000719943533077426,7.407706883576652e-09,1.1039933348394974e-06,4.170275601741699e-11
0.13,0.000798648710540768,9.465084339162068e-09,1.382383717382753e-06,5.608839682138797e-11
0.132,0.0008847599410214855,1.2071963562473645e-08,1.7268514889362782e-06,7.527789349709028e-11
0.134,0.0009788312461017116,1.536895153621748e-08,2.152016640143485e-06,1.0082034900175989e-10
0.136,0.0010814423177365803,1.953096201388478e-08,2.6754728918100956e-06,1.347458484443731e-10
0.138,0.0011931980306531039,2.4775148916797796e-08,3.31833188895898e-06,1.7970874153790954e-10
0.14,0.0013147277382681499,3.137056453549037e-08,4.105853669799643e-06,2.391716965555229e-10
0.14200000000000002,0.0014466843372287104,3.964989111857076e-08,5.068174328049728e-06,3.1764154558769586e-10
0.14400000000000002,0.0015897430865837378,5.0023658814160024e-08,6.241142620773603e-06,4.20970748940447e-10
0.146,0.0017446001687602124,6.299743787353318e-08,7.667278059526057e-06,5.567417822030624e-10
0.148,0.0019119709809469932,7.919257998905353e-08,9.396863730249262e-06,7.347560387013517e-10
0.15,0.0020925881471961436,9.937118421872756e-08,1.1489187682262045e-05,9.67654117141822e-10
0.152,0.0022871992435368584,1.244660788951281e-07,1.4013947168948644e-05,1.2717008369684247e-09
0.154,0.0024965642306621467,1.5561674412223107e-07,1.705283026747072e-05,1.6677762387197087e-09
0.156,0.0027214525912896245,1.9421225196971826e-07,2.070128940216075e-05,2.1826234746231166e-09
0.158,0.002962640172106519,2.419424754576297e-07,2.507052099184929e-05,2.85041621830094e-09
0.16,0.0032209057332727243,3.00859015186871e-07,3.028966477689601e-05,3.714722422991086e-09
0.162,0.0034970272117561697,3.734475164213819e-07,3.650823529571164e-05,4.8309584029634196e-09
0.164,0.0037917777082888053,4.627133020549659e-07,4.389879640965883e-05,6.269447845915888e-09
0.166,0.004105921211430854,5.722825307363855e-07,5.265988765546877e-05,8.119225112445106e-09
0.168,0.004440208076081582,7.06521407021226e-07,6.301920847301081e-05,1.0492751763377866e-08
0.17,0.004795370277737934,8.706763242603494e-07,7.523706295407191e-05,1.353175050153849e-08
0.17200000000000001,0.005172116467834069,1.0710382134010456e-06,8.961006363122913e-05,1.7414402559441898e-08
0.17400000000000002,0.0055711268595458625,1.315134804156066e-06,0.00010647508793000734,2.2364204069280492e-08
0.176,0.005993047977462557,1.6119549809940422e-06,0.0001262134752090674,2.8660835309013635e-08
0.178,0.006438487308455036,1.9722099366424834e-06,0.00014925544579392702,3.665346526050903e-08
0.18,0.006908007894847059,2.4086363912851923e-06,0.00017608471606995,4.67769941205345e-08
0.182,0.007402122914559894,2.9363477567518592e-06,0.0002072432755625157,5.957182990081289e-08
0.184,0.00792129029618645,3.5732397813198195e-06,0.0002433362830445507,7.570790381813972e-08
